GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,Amb
1,56,0.05,21,-,1,23,1,23,Symm,5,0,1
2,218,0.25,-42,-,1,61,0.5,-13,Symm,5,0,0
3,-4,1,-4,-,1,12,0.25,-3,R-skew,2,0,0
4,70,0.25,-7,-,1,12,1,12,-,1,0,0
5,6,1,6,-,1,40,0.1,3,R-skew,3,0,0
6,10,0.4,0,-,1,4,1,4,-,1,0,0
7,-2,1,-2,-,1,8,0.1,-8,-,1,0,0
8,-3,1,-3,-,1,-9,0.75,-12,-,1,0,0
9,48,0.05,5,-,1,42,0.5,-20,L-skew,4,0,0
10,17,1,17,R-skew,6,80,0.4,-36,-,1,0,0
11,7,1,7,-,1,19,0.8,-14,-,1,0,1
12,-9,0.99,-16,-,1,8,0.4,-12,-,1,-1,0
13,47,0.4,-48,-,1,-6,0.5,-10,R-skew,2,0,0
14,40,0.5,16,R-skew,3,25,0.01,24,-,1,0,0
15,21,1,21,-,1,17,0.99,5,R-skew,5,0,1
16,6,0.95,4,-,1,142,0.1,-18,-,1,0,0
17,22,0.5,2,-,1,19,0.6,5,-,1,0,1
18,-6,1,-6,-,1,-4,0.9,-35,Symm,9,0,0
19,75,0.25,-29,Symm,7,3,0.9,-30,-,1,0,1
20,48,0.25,-24,-,1,90,0.05,-15,L-skew,6,0,0
21,4,0.9,-7,-,1,30,0.05,5,Symm,7,-1,0
22,12,0.75,-16,-,1,26,0.2,-5,-,1,0,1
23,5,1,5,-,1,48,0.6,-50,-,1,0,0
24,17,1,17,-,1,19,0.6,15,-,1,0,1
25,27,1,27,-,1,35,0.9,-3,Symm,7,0,0
26,15,1,15,-,1,19,0.05,18,-,1,0,0
27,61,0.6,-32,-,1,33,0.1,21,-,1,0,0
28,15,1,15,-,1,36,0.75,-11,-,1,0,0
29,11,0.99,-19,-,1,77,0.25,-18,Symm,7,0,0
30,63,0.4,1,-,1,31,0.99,-34,-,1,0,0
31,10,1,10,-,1,12,0.25,8,-,1,0,0
32,49,0.4,-26,Symm,5,10,0.8,-2,R-skew,4,0,1
33,81,0.2,-15,-,1,32,0.4,-15,-,1,0,0
34,6,1,6,Symm,5,45,0.4,0,Symm,9,0,0
35,-5,1,-5,-,1,-17,0.6,-20,R-skew,7,0,0
36,33,0.4,18,R-skew,5,31,0.4,29,-,1,0,0
37,33,0.05,13,-,1,39,0.5,6,R-skew,4,0,0
38,28,1,28,-,1,49,0.5,-6,Symm,5,0,0
39,29,0.9,21,-,1,31,0.5,20,Symm,9,0,0
40,1,0.99,-28,R-skew,6,12,0.8,-45,L-skew,6,0,0
41,41,0.1,11,Symm,5,20,0.5,-11,-,1,0,0
42,8,0.6,-14,L-skew,5,54,0.2,-6,L-skew,5,0,0
43,84,0.05,4,-,1,13,0.99,-3,-,1,0,0
44,28,1,28,-,1,62,0.4,3,-,1,0,1
45,11,0.5,1,R-skew,3,33,0.01,14,R-skew,7,0,0
46,64,0.4,1,-,1,96,0.5,-28,-,1,0,0
47,10,1,10,-,1,19,0.75,-21,R-skew,3,0,0
48,29,1,29,-,1,45,0.2,30,Symm,7,0,1
49,15,0.1,-12,-,1,75,0.1,-22,-,1,0,0
50,21,0.95,2,-,1,138,0.2,-4,-,1,0,0
